id_tienda,nombre,direccion,comuna,id_jefe
0,Windy Technology,AV. INDEPENDENCIA NO. 720,San José de Maipo,0
1,Tommy,LIBERTAD NO. 2005,La Granja,1
2,Puma,20 DE NOVIEMBRE NO. 1081,Santiago,2
3,La Gran Bonanza,AV INDEPENDENCIA NO. 545-B,Huechuraba,3
4,Abaexpress,AV. SEBASTIAN ORTIZ NO.229,San José de Maipo,4
5,Banana Republic,AV. INDEPENDENCIA N0.670,Quinta Normal,5
6,Gourmarket,AV. 20 DE NOVIEMBRE NO.1022,Huechuraba,6
7,Giorgio Armani,CALLE MATAMOROS NO. 78,Padre Hurtado,7
8,Minimercado Los Sáuces,INDEPENDENCIA 85,Huechuraba,8
9,Ahorra Max,AV. INDEPENDENCIA NO 117,San Joaquín,9
10,El Gran Expreso,MIGUEL HIDALGO NO 689,Las Condes,10
11,Flow Follow,AV. 5 DE MAYO NO 1911,Huechuraba,11
12,Pull&Bear,AV. INDEPENDENCIA NO 145,Padre Hurtado,12
13,Ralph Lauren,CALLE MATAMOROS NO. 237,El Bosque,13
14,Neocyber Technology,MATAMOROS NO. 225,Pudahuel,14
15,La Canasta Del Ahorro,AV. PRINCIPAL S/N.,Lo Espejo,15
16,InDesign,AV.INDEPENDENCIA NO. 246,Santiago,16
17,Hábitat Market,NICOLAS BRAVO NO 1270,La Reina,17
18,Hollister,AV. INDEPENDENCIA NO.587,Maipú,18
19,nextGen Technology Co.,AV. INDEPENDENCIA NO. 240,La Florida,19
